X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,MPE,MAPE
218,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,Activity,At,0.0232,0.106
219,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,Activity,At,0.0167,0.0965
220,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Descend,Activity,St,0.0112,0.0598
221,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,Activity,Ao,0.0099,0.0706
222,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,Activity,Ao,-0.0042,0.0433
223,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Ascend,Activity,St,-0.0045,0.0821
224,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,Activity,Ao,-0.0053,0.0601
225,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,ADL: Dusting,NA,Mi,0.3993,0.6494
226,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,NA,At,0.1045,0.265
227,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,NA,At,0.0997,0.2931
228,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,NA,At,0.0816,0.2833
229,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,NA,At,0.0511,0.2765
230,Tedesco,2019,-,Controlled,SC,steps/stairs,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Ascend,NA,St,-0.0113,0.0838
231,Tedesco,2019,-,Controlled,SC,steps/stairs,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Ascend,NA,St,-0.0174,0.1006
232,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,NA,Ao,-0.0225,0.0341
233,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,NA,Ao,-0.0249,0.0314
234,Tedesco,2019,-,Controlled,SC,steps/stairs,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Descend,NA,St,-0.084,0.0917
235,Tedesco,2019,-,Controlled,SC,steps/stairs,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Descend,NA,St,-0.1048,0.1781
236,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,NA,At,-0.3946,0.4486
237,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Treadmill,NA,At,-0.4331,0.4453
238,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,NA,Ao,-0.6055,0.6732
239,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,NA,Ao,-0.7896,0.7896
240,Tedesco,2019,-,Controlled,SC,steps/3 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,ADL: Dusting,NA,Mi,-0.7936,0.7936
241,Bai,2017,-,Controlled,EE,kcal/25 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Oxycon Mobile 5.0),indirect calorimetry,chest,Torso,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",Simulated Free-Living,Activity,Mi,0.603,0.612
242,Bai,2017,-,Controlled,EE,kcal/25 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Oxycon Mobile 5.0),indirect calorimetry,chest,Torso,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",Ambulation: Treadmill,Activity,At,0.323,0.414
243,Bai,2017,-,Controlled,EE,kcal/20 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Oxycon Mobile 5.0),indirect calorimetry,chest,Torso,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",ADL: Seated Work,Rest,Se,-0.213,0.346
244,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Stairs: Ascend,Activity,St,-0.007,0.0533
245,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,Walk: Overground,Activity,Ao,-0.0092,0.0359
246,Tedesco,2019,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, DOM",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,18,7,11,"older adults, healthy",A,H,"m: 69 ± 3.2 
f: 69.7 ± 2.4",NA,"m: 79.7 ± 4.46 kg
f: 66.1 ± 4.25 kg",NA,"m: 175.8 ± 4.8 cm
f: 162.9 ± 5.8 cm",NA,NA,NA,Ireland,ADL: Dusting,Activity,Mi,-0.0161,0.0571
247,Bai,2017,-,Controlled,SC,steps/20 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,n,Accelerometry (Yamax Digi-Walker SW-200 [hip]),accelerometry,"waist, left, anterior to iliac crest",Waist/Hip,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",ADL: Seated Work,NA,Se,5.3,5.959
248,Bai,2017,-,Controlled,SC,steps/25 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,n,Accelerometry (Yamax Digi-Walker SW-200 [hip]),accelerometry,"waist, left, anterior to iliac crest",Waist/Hip,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",Simulated Free-Living,NA,Mi,2.225,2.31
249,Bai,2017,-,Controlled,SC,steps/25 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Accelerometry (Yamax Digi-Walker SW-200 [hip]),accelerometry,"waist, left, anterior to iliac crest",Waist/Hip,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",Ambulation: Treadmill,NA,At,-0.045,0.094
250,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,Walk: Treadmill,Activity,At,0.696601942,0.73
251,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,Walk: Treadmill,Activity,At,0.43991853400000003,0.48
252,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,ADL: Sweeping,Activity,Mi,0.290322581,0.39
253,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,Jog: Treadmill,Activity,At,0.046464646,0.16
254,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,Stairs: Ascend and Descend,Activity,St,-0.002781641,0.15
255,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,ADL: Seated Work,Activity,Mi,-0.059602649,0.2
256,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,ADL: Loading Dishwasher,Activity,Mi,-0.089430894,0.23
257,Chowdhury,2017,-,Controlled,EE,kcal/min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2),indirect calorimetry,NA,NA,30,15,15,healthy adults,A,H,27,6,69.7,13.2,172,10,23.4,2.5,UK,Cycle,Activity,Mi,-0.525537634,0.53
258,Dooley,2017,-,Controlled,EE,kcal/4 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Walk: Treadmill,Activity,At,0.822714681,0.8498
259,Dooley,2017,-,Controlled,EE,kcal/4 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Walk: Treadmill,Activity,At,0.422018349,0.458
260,Dooley,2017,-,Controlled,EE,kcal/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,0.189644792,0.3959
261,Dooley,2017,-,Controlled,EE,kcal/4 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Jog: Treadmill,Activity,At,0.028433476,0.1964
262,Dooley,2017,-,Controlled,EE,kcal/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,-0.090208173,0.1685
263,Bai,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",Ambulation: Treadmill,Activity,At,-0.002,0.084
264,Bai,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",Simulated Free-Living,Activity,Mi,-0.022,0.101
265,Bai,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, left",full-text,y,Heart rate sensor chest strap (Polar H7),chest strap,chest,Torso,39,23,16,healthy adults,A,H,32,11,72.7,12.8,171.7,9.5,24.7,4,"IO, USA",ADL: Seated Work,Rest,Se,-0.023,0.072
266,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Walk: Treadmill,Activity,At,0.115305571,0.1699
267,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Walk: Treadmill,Activity,At,0.030138525,0.1176
268,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,0.01050885,0.0612
269,Fokkema,2017,-,Controlled,SC,steps/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.076738609,0.077
270,Fokkema,2017,-,Controlled,SC,steps/10 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, right",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,0.051628276,0.052
271,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,-0.022331826,0.0365
272,Dooley,2017,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Jog: Treadmill,Activity,At,-0.039699927,0.0584
273,Jo,2016,-,Controlled,HR,bpm,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, random",full-text,y,Electrocardiography (COSMED Quark C12x),ECG,NA,NA,24,12,12,"healthy adults, college-aged",A,H,24.8,2.1,71.3,9.9,166,7,NA,NA,"CA, USA",Mixed,Activity,Mi,-0.053191489,0.085
274,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,0.145808019,0.176
275,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,0.069138277,0.069
276,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,0.003875969,0.035
277,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,0.003656307,0.372
278,Lamont,2018,-,Controlled,SC,steps/2 min,Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, both",full-text,y,Accelerometry (ActivPAL3 [thigh]),accelerometry,"thigh, right, anterior middle",Thigh,33,21,12,"adults, Parkinson's",A,NH,69,8,NA,NA,NA,NA,NA,NA,"QLD, AUS",Walk: Overground,NA,Ao,-0.005447471,0.088
279,Montoye,2017,-,Controlled,EE,"kcal/min, x5",Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Jog: Treadmill,Activity,At,0.128252788,0.125
280,Montoye,2017,-,Controlled,EE,"kcal/min, x5",Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Walk: Treadmill,Activity,At,0.100334448,0.229
281,Montoye,2017,-,Controlled,EE,"kcal/min, x5",Fitbit,Charge HR,Fitbit Charge HR,2015,Wrist,"wrist, ND",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,32,18,14,healthy adults,A,H,23.5,1.3,79.5,3,173,1.5,25.6,0.8,"MI, USA",Walk: Treadmill,Activity,At,0.092920354,0.479
